longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-120.55,34.26,28,1306,202.0,4701,753,3.4674,225172,INLAND
-114.79,37.65,7,2424,406.0,659,1628,1.3658,143644,<1H OCEAN
-116.98,40.79,35,397,93.0,2206,992,0.972,118766,NEAR BAY
-118.31,39.46,28,2871,593.0,3916,1489,5.5083,271145,<1H OCEAN
-122.74,40.16,14,7935,1764.0,421,97,3.9736,284013,<1H OCEAN
-122.74,38.76,10,6291,1126.0,665,488,1.8401,210228,INLAND
-123.72,39.08,16,7034,1420.0,2303,1567,0.8915,127371,<1H OCEAN
-115.64,40.57,16,3692,562.0,4992,427,4.4952,212007,INLAND
-118.29,34.87,31,2648,560.0,4188,649,2.3473,137982,<1H OCEAN
-117.22,37.15,42,670,117.0,914,1339,1.2455,113506,<1H OCEAN
-124.09,34.6,25,6561,1164.0,1318,1614,4.2089,239445,<1H OCEAN
-114.6,41.88,13,2148,439.0,834,1193,2.5114,212011,<1H OCEAN
-115.98,41.47,6,5224,1262.0,4621,759,3.599,238158,<1H OCEAN
-122.18,32.87,44,4099,525.0,4228,585,4.2259,333180,NEAR OCEAN
-122.48,39.2,9,2210,502.0,2287,810,0.5015,198993,INLAND
-122.47,41.29,45,4000,632.0,4104,1643,1.1587,223213,INLAND
-121.26,34.22,36,6975,1239.0,4945,1781,5.1098,364816,INLAND
-119.05,37.9,43,7294,896.0,985,923,3.9137,252903,INLAND
-119.98,41.2,20,5201,827.0,4030,639,5.3902,323273,NEAR BAY
-121.39,32.82,18,6518,1208.0,2388,777,1.5521,186814,<1H OCEAN
-118.18,39.13,43,4318,549.0,375,311,2.634,149546,<1H OCEAN
-122.91,35.32,21,3996,734.0,1584,690,2.7358,287494,<1H OCEAN
-121.38,41.28,4,4188,1007.0,3530,953,3.6694,282100,<1H OCEAN
-120.64,41.73,50,434,58.0,3911,1025,3.6034,266558,<1H OCEAN
-119.74,41.47,33,7380,1619.0,2035,1631,4.8569,277265,INLAND
-116.45,37.01,27,5420,939.0,4982,775,2.6443,174110,INLAND
-122.3,40.69,7,1128,231.0,4653,1510,4.5397,445194,ISLAND
-119.16,40.52,6,3807,585.0,2828,116,5.0304,283650,<1H OCEAN
-118.38,35.53,15,722,101.0,1320,1132,2.6295,234252,<1H OCEAN
-123.84,40.37,18,6104,859.0,690,1258,2.0354,183575,NEAR BAY
-118.22,32.85,32,3723,480.0,4753,820,2.9893,226297,NEAR OCEAN
-122.59,38.16,11,4726,681.0,4128,1390,3.9468,349283,INLAND
-123.65,34.69,20,5088,1049.0,4711,1307,15.0,500001,INLAND
-114.81,33.65,24,1829,429.0,1417,333,3.0932,186957,NEAR OCEAN
-114.64,33.23,15,6032,1362.0,4092,1433,1.5963,124193,INLAND
-116.22,39.11,48,4828,1009.0,2625,159,0.5,80051,<1H OCEAN
-121.25,35.73,7,7322,983.0,3653,625,5.0032,406789,NEAR OCEAN
-123.32,39.39,21,6042,952.0,1631,1329,0.8293,97449,INLAND
-117.46,33.12,42,5971,957.0,2036,1752,13.1424,500001,<1H OCEAN
-119.9,35.5,26,1516,231.0,2290,587,3.8252,209399,INLAND
-123.08,37.63,44,3057,571.0,4016,928,9.1293,496115,<1H OCEAN
-119.35,40.01,14,5208,987.0,2155,1236,5.2059,336363,NEAR OCEAN
-123.96,35.53,37,1324,220.0,178,1321,2.4742,224857,<1H OCEAN
-115.21,38.45,21,5821,966.0,4851,1375,3.717,208295,NEAR OCEAN
-121.71,40.92,18,5623,1280.0,4046,1565,1.2693,212542,INLAND
-117.67,38.35,5,7214,1605.0,901,1665,2.4231,143693,<1H OCEAN
-121.18,34.71,3,2787,445.0,4153,107,3.8643,265604,<1H OCEAN
-119.1,32.73,23,1223,292.0,2126,813,0.5817,122034,INLAND
-118.83,40.77,26,5872,1431.0,3044,1392,2.1567,204453,NEAR BAY
-122.45,32.7,37,1578,256.0,3794,703,4.8494,347366,<1H OCEAN
-114.6,40.81,24,3574,593.0,2806,1609,3.806,278177,<1H OCEAN
-116.55,37.52,49,1719,319.0,1694,1562,1.1054,141966,INLAND
-114.91,41.42,19,5977,1448.0,4421,267,6.3301,391147,NEAR OCEAN
-115.35,40.09,51,6293,1472.0,3194,1187,3.0582,188198,<1H OCEAN
-118.32,41.98,25,426,56.0,292,1245,1.4712,183875,INLAND
-115.08,35.83,21,5555,950.0,4135,1409,0.5775,150313,INLAND
-123.42,39.79,12,5168,991.0,220,307,5.7646,349014,<1H OCEAN
-122.34,36.32,41,1091,202.0,702,1071,6.2269,427525,INLAND
-123.85,37.06,33,5774,838.0,3562,553,4.4794,265773,<1H OCEAN
-121.05,38.46,50,4272,989.0,1549,209,2.7777,207593,NEAR OCEAN
-120.41,40.8,4,5332,1109.0,2149,152,3.5432,223382,INLAND
-121.59,41.85,42,2457,562.0,2208,1299,4.7181,334353,INLAND
-116.01,39.8,7,2988,692.0,2022,1787,1.7555,148698,<1H OCEAN
-120.73,36.47,22,596,129.0,3975,1426,1.9859,172368,<1H OCEAN
-121.49,36.5,33,5419,959.0,2308,1104,3.321,296107,NEAR OCEAN
-118.87,39.51,17,2278,454.0,4089,1124,1.6916,160386,INLAND
-122.89,34.77,24,7241,1019.0,2085,509,1.744,183741,INLAND
-116.28,33.55,34,7895,1638.0,3321,1613,3.4174,214225,INLAND
-123.55,35.87,28,4944,708.0,907,1072,5.6808,338622,INLAND
-114.43,35.23,43,4624,972.0,3873,113,5.5503,297944,<1H OCEAN
-116.58,35.31,41,3437,515.0,1099,1208,2.9673,172627,<1H OCEAN
-122.31,34.72,39,5778,781.0,4040,594,2.6462,276105,<1H OCEAN
-124.24,32.9,22,4093,579.0,348,648,6.9527,381151,INLAND
-116.15,32.67,49,5247,630.0,973,386,4.2852,219749,<1H OCEAN
-117.23,41.88,17,2205,470.0,4282,845,0.9153,124987,<1H OCEAN
-117.01,36.56,34,2216,476.0,4356,676,1.2446,139867,NEAR OCEAN
-116.59,36.15,6,3371,630.0,2849,472,4.574,302581,<1H OCEAN
-123.56,38.96,46,2868,404.0,4925,1122,5.387,310276,INLAND
-120.72,34.57,6,2078,271.0,4112,552,0.5,113861,<1H OCEAN
-123.14,41.52,34,1396,170.0,4095,172,2.5998,233999,<1H OCEAN
-115.67,39.97,1,1972,279.0,1852,221,1.321,104847,<1H OCEAN
-118.07,33.35,10,361,85.0,2763,1440,3.39,240103,<1H OCEAN
-120.99,36.47,21,4176,632.0,4556,407,6.8109,436055,NEAR OCEAN
-123.66,40.85,5,1951,323.0,2903,610,0.9082,151638,INLAND
-121.19,41.47,2,975,130.0,2707,564,1.7604,245880,<1H OCEAN
-121.05,36.94,22,7630,1136.0,4572,1746,2.4339,245770,<1H OCEAN
-117.0,38.33,48,6123,1148.0,3396,1346,0.9441,112101,INLAND
-117.92,34.09,2,6617,1316.0,1521,1062,0.5,86221,<1H OCEAN
-115.43,41.92,10,7370,1119.0,2999,1324,1.3857,118455,<1H OCEAN
-119.58,34.7,34,5347,681.0,991,1440,10.1674,500001,INLAND
-123.1,41.46,16,6669,1139.0,1957,122,2.2667,160458,NEAR OCEAN
-117.17,38.67,48,1139,171.0,4887,558,2.2886,182628,<1H OCEAN
-116.69,38.27,51,3420,508.0,1293,1207,4.544,304960,INLAND
-118.69,37.37,39,739,180.0,4473,434,2.53,178749,NEAR OCEAN
-116.59,34.69,22,6831,1367.0,1516,869,7.2015,435081,<1H OCEAN
-119.36,34.18,12,5117,984.0,4007,1202,3.3254,225556,NEAR OCEAN
-119.07,34.59,24,1661,289.0,2016,918,1.5329,88535,INLAND
-120.02,34.27,47,5384,946.0,425,1320,4.7376,331075,<1H OCEAN
-124.05,39.91,40,555,105.0,312,451,0.841,112646,NEAR BAY
-123.22,35.83,38,3804,800.0,4412,1671,2.0747,231192,<1H OCEAN
-123.99,33.05,10,3523,744.0,3438,501,1.2186,106678,<1H OCEAN
-117.94,41.71,35,434,61.0,3445,922,1.0229,128036,NEAR OCEAN
-121.16,40.9,51,6570,1215.0,1994,576,6.1668,375013,<1H OCEAN
-119.21,41.31,49,1748,303.0,1943,660,5.3333,325618,<1H OCEAN
-115.22,41.95,32,7680,1790.0,3684,1579,3.3822,234477,<1H OCEAN
-121.81,34.15,7,2296,463.0,1702,1556,9.0874,500001,NEAR OCEAN
-120.2,36.26,21,4413,835.0,4191,1067,1.448,160812,NEAR OCEAN
-116.74,39.7,20,2301,310.0,3942,807,4.6876,233549,INLAND
-122.01,39.11,26,1873,372.0,649,1705,7.1013,500001,NEAR BAY
-123.53,33.96,4,6908,934.0,4865,393,3.1743,273074,<1H OCEAN
-121.4,40.25,46,5363,878.0,1962,148,2.6913,223568,<1H OCEAN
-122.69,34.63,52,2300,318.0,1342,1291,1.7284,179654,INLAND
-115.0,34.63,22,3857,809.0,650,575,4.6788,301502,INLAND
-116.22,37.6,15,4853,712.0,430,1222,0.7253,88509,<1H OCEAN
-117.97,38.13,40,3796,648.0,4263,551,0.5,66217,<1H OCEAN
-115.59,38.01,21,3948,933.0,3687,663,4.0411,250269,NEAR OCEAN
-116.26,33.37,15,3373,494.0,2213,1710,1.3402,103408,NEAR BAY
-122.43,40.84,22,2015,374.0,4405,992,1.495,217001,INLAND
-115.37,35.02,52,4041,705.0,1148,987,1.15,99013,<1H OCEAN
-118.91,33.73,28,2205,269.0,415,1788,3.4053,220087,ISLAND
-116.23,40.94,14,7211,1608.0,2620,912,3.0901,234522,NEAR OCEAN
-115.34,41.58,27,4693,605.0,3469,809,1.1171,35796,INLAND
-121.12,40.69,41,7505,1363.0,2526,900,3.0002,271438,NEAR OCEAN
-123.2,40.19,40,874,168.0,840,545,3.2335,282052,NEAR OCEAN
-122.02,38.72,28,586,118.0,3619,967,2.281,271043,NEAR BAY
